"","subject","activity","feature","statistic","axis","mean"
"84",1,"sitting","tBodyGyro","std","Z",-0.941425920851064
"85",1,"sitting","tBodyGyroJerk","mean","X",-0.0936793807234043
"86",1,"sitting","tBodyGyroJerk","mean","Y",-0.0402118124255319
"87",1,"sitting","tBodyGyroJerk","mean","Z",-0.046702627
"88",1,"sitting","tBodyGyroJerk","std","X",-0.99173159212766
"89",1,"sitting","tBodyGyroJerk","std","Y",-0.989518068510638
"90",1,"sitting","tBodyGyroJerk","std","Z",-0.987935806382979
"91",1,"sitting","tGravityAcc","mean","X",0.831509933404255
"92",1,"sitting","tGravityAcc","mean","Y",0.204411592680851
"93",1,"sitting","tGravityAcc","mean","Z",0.332043702765957
"94",1,"sitting","tGravityAcc","std","X",-0.968457145744681
"95",1,"sitting","tGravityAcc","std","Y",-0.935517055957447
"96",1,"sitting","tGravityAcc","std","Z",-0.949040933191489
"97",1,"standing","fBodyAcc","mean","X",-0.995249932641509
"98",1,"standing","fBodyAcc","mean","Y",-0.977070847735849
"99",1,"standing","fBodyAcc","mean","Z",-0.985297098679245
"100",1,"standing","fBodyAcc","std","X",-0.99602834509434
"101",1,"standing","fBodyAcc","std","Y",-0.972293102075472
"102",1,"standing","fBodyAcc","std","Z",-0.977937259622642
"103",1,"standing","fBodyAccJerk","mean","X",-0.994630797358491
"104",1,"standing","fBodyAccJerk","mean","Y",-0.985418704528302
"105",1,"standing","fBodyAccJerk","mean","Z",-0.990752166037736
"106",1,"standing","fBodyAccJerk","std","X",-0.995073759245283
"107",1,"standing","fBodyAccJerk","std","Y",-0.987018226792453
"108",1,"standing","fBodyAccJerk","std","Z",-0.992349818113208
"109",1,"standing","fBodyGyro","mean","X",-0.986386786037736
"110",1,"standing","fBodyGyro","mean","Y",-0.988984455849057
"111",1,"standing","fBodyGyro","mean","Z",-0.980773122830189
"112",1,"standing","fBodyGyro","std","X",-0.987497128679245
"113",1,"standing","fBodyGyro","std","Y",-0.987107727735849
"114",1,"standing","fBodyGyro","std","Z",-0.98234533
"115",1,"standing","tBodyAcc","mean","X",0.278917629056604
"116",1,"standing","tBodyAcc","mean","Y",-0.0161375901037736
"117",1,"standing","tBodyAcc","mean","Z",-0.110601817735849
"118",1,"standing","tBodyAcc","std","X",-0.995759901509434
"119",1,"standing","tBodyAcc","std","Y",-0.973190056415094
"120",1,"standing","tBodyAcc","std","Z",-0.979775876981132
"121",1,"standing","tBodyAccJerk","mean","X",0.0753766542264151
"122",1,"standing","tBodyAccJerk","mean","Y",0.00797573092830189
"123",1,"standing","tBodyAccJerk","mean","Z",-0.00368524954709434
"124",1,"standing","tBodyAccJerk","std","X",-0.994604542264151
"125",1,"standing","tBodyAccJerk","std","Y",-0.98564873245283
"126",1,"standing","tBodyAccJerk","std","Z",-0.992251177358491
"127",1,"standing","tBodyGyro","mean","X",-0.0239877347979245
"128",1,"standing","tBodyGyro","mean","Y",-0.0593972209811321
"129",1,"standing","tBodyGyro","mean","Z",0.074800751
"130",1,"standing","tBodyGyro","std","X",-0.987191946603774
"131",1,"standing","tBodyGyro","std","Y",-0.98773444
"132",1,"standing","tBodyGyro","std","Z",-0.980645626981132
"133",1,"standing","tBodyGyroJerk","mean","X",-0.0996092129056604
"134",1,"standing","tBodyGyroJerk","mean","Y",-0.0440627877924528
"135",1,"standing","tBodyGyroJerk","mean","Z",-0.0489505466716981
"136",1,"standing","tBodyGyroJerk","std","X",-0.992945106981132
"137",1,"standing","tBodyGyroJerk","std","Y",-0.995137917358491
"138",1,"standing","tBodyGyroJerk","std","Z",-0.992108467169811
"139",1,"standing","tGravityAcc","mean","X",0.942952000377358
"140",1,"standing","tGravityAcc","mean","Y",-0.272983832264151
"141",1,"standing","tGravityAcc","mean","Z",0.0134905823226415
"142",1,"standing","tGravityAcc","std","X",-0.99376298509434
"143",1,"standing","tGravityAcc","std","Y",-0.981225957924528
"144",1,"standing","tGravityAcc","std","Z",-0.976324063584906
"145",1,"walking","fBodyAcc","mean","X",-0.202794306326316
"146",1,"walking","fBodyAcc","mean","Y",0.0897127264021053
"147",1,"walking","fBodyAcc","mean","Z",-0.331560117789474
"148",1,"walking","fBodyAcc","std","X",-0.319134719578947
"149",1,"walking","fBodyAcc","std","Y",0.056040006846
"150",1,"walking","fBodyAcc","std","Z",-0.279686751494737
"151",1,"walking","fBodyAccJerk","mean","X",-0.170546964549579
"152",1,"walking","fBodyAccJerk","mean","Y",-0.0352255241130632
"153",1,"walking","fBodyAccJerk","mean","Z",-0.468999224631579
"154",1,"walking","fBodyAccJerk","std","X",-0.133586606326316
"155",1,"walking","fBodyAccJerk","std","Y",0.106739857136
"156",1,"walking","fBodyAccJerk","std","Z",-0.534713440421053
"157",1,"walking","fBodyGyro","mean","X",-0.339032197115789
"158",1,"walking","fBodyGyro","mean","Y",-0.103059416434737
"159",1,"walking","fBodyGyro","mean","Z",-0.255940940315789
"160",1,"walking","fBodyGyro","std","X",-0.516691938736842
"161",1,"walking","fBodyGyro","std","Y",-0.0335081597884211
"162",1,"walking","fBodyGyro","std","Z",-0.436562227473684
"163",1,"walking","tBodyAcc","mean","X",0.277330758736842
"164",1,"walking","tBodyAcc","mean","Y",-0.0173838185273684
"165",1,"walking","tBodyAcc","mean","Z",-0.111148103547368
"166",1,"walking","tBodyAcc","std","X",-0.283740258842105
"167",1,"walking","tBodyAcc","std","Y",0.114461336747368
"168",1,"walking","tBodyAcc","std","Z",-0.260027902210526
"169",1,"walking","tBodyAccJerk","mean","X",0.0740416333157895
"170",1,"walking","tBodyAccJerk","mean","Y",0.0282721095884211
"171",1,"walking","tBodyAccJerk","mean","Z",-0.00416840617789474
"172",1,"walking","tBodyAccJerk","std","X",-0.113615602435789
"173",1,"walking","tBodyAccJerk","std","Y",0.0670025007684211
"174",1,"walking","tBodyAccJerk","std","Z",-0.502699788526316
"175",1,"walking","tBodyGyro","mean","X",-0.041830963526
"176",1,"walking","tBodyGyro","mean","Y",-0.0695300462115789
"177",1,"walking","tBodyGyro","mean","Z",0.0849448173042105
"178",1,"walking","tBodyGyro","std","X",-0.473535485894737
"179",1,"walking","tBodyGyro","std","Y",-0.0546077686594737
"180",1,"walking","tBodyGyro","std","Z",-0.344266629473684
"181",1,"walking","tBodyGyroJerk","mean","X",-0.0899975423705263
"182",1,"walking","tBodyGyroJerk","mean","Y",-0.0398428709463158
"183",1,"walking","tBodyGyroJerk","mean","Z",-0.0461309295021053
"184",1,"walking","tBodyGyroJerk","std","X",-0.207421854757895
"185",1,"walking","tBodyGyroJerk","std","Y",-0.304468510631579
"186",1,"walking","tBodyGyroJerk","std","Z",-0.404255452631579
"187",1,"walking","tGravityAcc","mean","X",0.935223201473684
"188",1,"walking","tGravityAcc","mean","Y",-0.282165021263158
"189",1,"walking","tGravityAcc","mean","Z",-0.068102864
"190",1,"walking","tGravityAcc","std","X",-0.976609642526316
"191",1,"walking","tGravityAcc","std","Y",-0.971305961473684
"192",1,"walking","tGravityAcc","std","Z",-0.947717226105263
"193",1,"walking_downstairs","fBodyAcc","mean","X",0.0382291831510204
"194",1,"walking_downstairs","fBodyAcc","mean","Y",0.00154990783591837
"195",1,"walking_downstairs","fBodyAcc","mean","Z",-0.225574471693878
"196",1,"walking_downstairs","fBodyAcc","std","X",0.0243308391387755
"197",1,"walking_downstairs","fBodyAcc","std","Y",-0.112963739953061
"198",1,"walking_downstairs","fBodyAcc","std","Z",-0.297927894693878
"199",1,"walking_downstairs","fBodyAccJerk","mean","X",-0.0276638676122449
"200",1,"walking_downstairs","fBodyAccJerk","mean","Y",-0.12866715764898
"201",1,"walking_downstairs","fBodyAccJerk","mean","Z",-0.288334735714286
"202",1,"walking_downstairs","fBodyAccJerk","std","X",-0.0863278966402041
"203",1,"walking_downstairs","fBodyAccJerk","std","Y",-0.134580008877551
"204",1,"walking_downstairs","fBodyAccJerk","std","Z",-0.401721464285714
"205",1,"walking_downstairs","fBodyGyro","mean","X",-0.352449631363265
"206",1,"walking_downstairs","fBodyGyro","mean","Y",-0.0557022524693878
"207",1,"walking_downstairs","fBodyGyro","mean","Z",-0.0318694271979592
"208",1,"walking_downstairs","fBodyGyro","std","X",-0.495422486102041
"209",1,"walking_downstairs","fBodyGyro","std","Y",-0.181414728657143
"210",1,"walking_downstairs","fBodyGyro","std","Z",-0.238443565306122
"211",1,"walking_downstairs","tBodyAcc","mean","X",0.289188320408163
"212",1,"walking_downstairs","tBodyAcc","mean","Y",-0.00991850461020408
"213",1,"walking_downstairs","tBodyAcc","mean","Z",-0.107566190908163
"214",1,"walking_downstairs","tBodyAcc","std","X",0.0300353383483878
"215",1,"walking_downstairs","tBodyAcc","std","Y",-0.0319359434489796
"216",1,"walking_downstairs","tBodyAcc","std","Z",-0.230434213204082
"217",1,"walking_downstairs","tBodyAccJerk","mean","X",0.0541553164897959
"218",1,"walking_downstairs","tBodyAccJerk","mean","Y",0.0296504490408163
"219",1,"walking_downstairs","tBodyAccJerk","mean","Z",-0.0109719730183673
"220",1,"walking_downstairs","tBodyAccJerk","std","X",-0.012283860544898
"221",1,"walking_downstairs","tBodyAccJerk","std","Y",-0.101601390640816
"222",1,"walking_downstairs","tBodyAccJerk","std","Z",-0.345735032326531
"223",1,"walking_downstairs","tBodyGyro","mean","X",-0.0350781902989796
"224",1,"walking_downstairs","tBodyGyro","mean","Y",-0.0909371290204082
"225",1,"walking_downstairs","tBodyGyro","mean","Z",0.0900850142030612
"226",1,"walking_downstairs","tBodyGyro","std","X",-0.458030542938775
"227",1,"walking_downstairs","tBodyGyro","std","Y",-0.126349194938775
"228",1,"walking_downstairs","tBodyGyro","std","Z",-0.124702454242857
"229",1,"walking_downstairs","tBodyGyroJerk","mean","X",-0.0739592036271429
"230",1,"walking_downstairs","tBodyGyroJerk","mean","Y",-0.0439902783367347
"231",1,"walking_downstairs","tBodyGyroJerk","mean","Z",-0.0270461061061224
"232",1,"walking_downstairs","tBodyGyroJerk","std","X",-0.487027342244898
"233",1,"walking_downstairs","tBodyGyroJerk","std","Y",-0.238824827530612
"234",1,"walking_downstairs","tBodyGyroJerk","std","Z",-0.268761480242857
"235",1,"walking_downstairs","tGravityAcc","mean","X",0.931874418979592
"236",1,"walking_downstairs","tGravityAcc","mean","Y",-0.266610338979592
"237",1,"walking_downstairs","tGravityAcc","mean","Z",-0.0621199585938775
"238",1,"walking_downstairs","tGravityAcc","std","X",-0.950559811632653
"239",1,"walking_downstairs","tGravityAcc","std","Y",-0.937018658979592
"240",1,"walking_downstairs","tGravityAcc","std","Z",-0.895939695102041
"241",1,"walking_upstairs","fBodyAcc","mean","X",-0.404321784150943
"242",1,"walking_upstairs","fBodyAcc","mean","Y",-0.190976720811321
"243",1,"walking_upstairs","fBodyAcc","mean","Z",-0.433349702075472
"244",1,"walking_upstairs","fBodyAcc","std","X",-0.337428188679245
"245",1,"walking_upstairs","fBodyAcc","std","Y",0.0217695106566038
"246",1,"walking_upstairs","fBodyAcc","std","Z",0.0859565543849057
"247",1,"walking_upstairs","fBodyAccJerk","mean","X",-0.479875245660377
"248",1,"walking_upstairs","fBodyAccJerk","mean","Y",-0.41344458754717
"249",1,"walking_upstairs","fBodyAccJerk","mean","Z",-0.685474353962264
"250",1,"walking_upstairs","fBodyAccJerk","std","X",-0.461907025849057
"251",1,"walking_upstairs","fBodyAccJerk","std","Y",-0.381777065283019
"252",1,"walking_upstairs","fBodyAccJerk","std","Z",-0.726040200754717
"253",1,"walking_upstairs","fBodyGyro","mean","X",-0.492611667924528
"254",1,"walking_upstairs","fBodyGyro","mean","Y",-0.319474609056604
"255",1,"walking_upstairs","fBodyGyro","mean","Z",-0.453597213018868
"256",1,"walking_upstairs","fBodyGyro","std","X",-0.565892490754717
"257",1,"walking_upstairs","fBodyGyro","std","Y",0.151538905566038
"258",1,"walking_upstairs","fBodyGyro","std","Z",-0.57170784
"259",1,"walking_upstairs","tBodyAcc","mean","X",0.255461689622641
"260",1,"walking_upstairs","tBodyAcc","mean","Y",-0.0239531492643396
"261",1,"walking_upstairs","tBodyAcc","mean","Z",-0.0973020020943396
"262",1,"walking_upstairs","tBodyAcc","std","X",-0.35470802509434
"263",1,"walking_upstairs","tBodyAcc","std","Y",-0.00232026501698113
"264",1,"walking_upstairs","tBodyAcc","std","Z",-0.0194792388471698
"265",1,"walking_upstairs","tBodyAccJerk","mean","X",0.101372729922642
"266",1,"walking_upstairs","tBodyAccJerk","mean","Y",0.0194863076188679
"267",1,"walking_upstairs","tBodyAccJerk","mean","Z",-0.0455625449113208
"268",1,"walking_upstairs","tBodyAccJerk","std","X",-0.446843887735849
"269",1,"walking_upstairs","tBodyAccJerk","std","Y",-0.378274426037736
"270",1,"walking_upstairs","tBodyAccJerk","std","Z",-0.706593530943396
"271",1,"walking_upstairs","tBodyGyro","mean","X",0.050549379754717
"272",1,"walking_upstairs","tBodyGyro","mean","Y",-0.166170015088679
"273",1,"walking_upstairs","tBodyGyro","mean","Z",0.0583595463981132
"274",1,"walking_upstairs","tBodyGyro","std","X",-0.544871104528302
"275",1,"walking_upstairs","tBodyGyro","std","Y",0.00410518379811321
"276",1,"walking_upstairs","tBodyGyro","std","Z",-0.50716867490566
"277",1,"walking_upstairs","tBodyGyroJerk","mean","X",-0.122232768011321
"278",1,"walking_upstairs","tBodyGyroJerk","mean","Y",-0.0421485884509434
"279",1,"walking_upstairs","tBodyGyroJerk","mean","Z",-0.0407125527654717
"280",1,"walking_upstairs","tBodyGyroJerk","std","X",-0.614786508490566
"281",1,"walking_upstairs","tBodyGyroJerk","std","Y",-0.601696656226415
"282",1,"walking_upstairs","tBodyGyroJerk","std","Z",-0.606332002264151
"283",1,"walking_upstairs","tGravityAcc","mean","X",0.89335109754717
"284",1,"walking_upstairs","tGravityAcc","mean","Y",-0.362153364339623
"285",1,"walking_upstairs","tGravityAcc","mean","Z",-0.075402939754717
"286",1,"walking_upstairs","tGravityAcc","std","X",-0.956367027924528
"287",1,"walking_upstairs","tGravityAcc","std","Y",-0.952849233207547
"288",1,"walking_upstairs","tGravityAcc","std","Z",-0.912379410377358
"289",2,"laying","fBodyAcc","mean","X",-0.976725059791667
"290",2,"laying","fBodyAcc","mean","Y",-0.979800877916667
"291",2,"laying","fBodyAcc","mean","Z",-0.984380981875
"292",2,"laying","fBodyAcc","std","X",-0.973246482083333
"293",2,"laying","fBodyAcc","std","Y",-0.981025105625
"294",2,"laying","fBodyAcc","std","Z",-0.984792185
"295",2,"laying","fBodyAccJerk","mean","X",-0.985813630833333
"296",2,"laying","fBodyAccJerk","mean","Y",-0.982768250416667
"297",2,"laying","fBodyAccJerk","mean","Z",-0.986197134583333
"298",2,"laying","fBodyAccJerk","std","X",-0.987250255833333
"299",2,"laying","fBodyAccJerk","std","Y",-0.984987392916667
"300",2,"laying","fBodyAccJerk","std","Z",-0.989345368541667
"301",2,"laying","fBodyGyro","mean","X",-0.9864311425
"302",2,"laying","fBodyGyro","mean","Y",-0.983321635416667
"303",2,"laying","fBodyGyro","mean","Z",-0.9626718875
"304",2,"laying","fBodyGyro","std","X",-0.988860685833333
"305",2,"laying","fBodyGyro","std","Y",-0.981910616458333
"306",2,"laying","fBodyGyro","std","Z",-0.963174222291667
"307",2,"laying","tBodyAcc","mean","X",0.281373403958333
"308",2,"laying","tBodyAcc","mean","Y",-0.0181587397583333
"309",2,"laying","tBodyAcc","mean","Z",-0.107245610416667
"310",2,"laying","tBodyAcc","std","X",-0.974059464791667
"311",2,"laying","tBodyAcc","std","Y",-0.98027739875
"312",2,"laying","tBodyAcc","std","Z",-0.984233296875
"313",2,"laying","tBodyAccJerk","mean","X",0.0825972511666667
"314",2,"laying","tBodyAccJerk","mean","Y",0.012254788451875
"315",2,"laying","tBodyAccJerk","mean","Z",-0.00180264895625
"316",2,"laying","tBodyAccJerk","std","X",-0.98587216875
"317",2,"laying","tBodyAccJerk","std","Y",-0.98317254125
"318",2,"laying","tBodyAccJerk","std","Z",-0.988442014375
"319",2,"laying","tBodyGyro","mean","X",-0.01847660675
"320",2,"laying","tBodyGyro","mean","Y",-0.111800824583333
"321",2,"laying","tBodyGyro","mean","Z",0.144882846104167
"322",2,"laying","tBodyGyro","std","X",-0.988275232916667
"323",2,"laying","tBodyGyro","std","Y",-0.982291608958333
"324",2,"laying","tBodyGyro","std","Z",-0.960306560416667
"325",2,"laying","tBodyGyroJerk","mean","X",-0.101974134208333
"326",2,"laying","tBodyGyroJerk","mean","Y",-0.0358590176083333
"327",2,"laying","tBodyGyroJerk","mean","Z",-0.0701783020833333
"328",2,"laying","tBodyGyroJerk","std","X",-0.993235849166667
"329",2,"laying","tBodyGyroJerk","std","Y",-0.989567537916667
"330",2,"laying","tBodyGyroJerk","std","Z",-0.98803582125
"331",2,"laying","tGravityAcc","mean","X",-0.509754238125
"332",2,"laying","tGravityAcc","mean","Y",0.752536639375
"333",2,"laying","tGravityAcc","mean","Z",0.646834879583333
"334",2,"laying","tGravityAcc","std","X",-0.959014441458333
"335",2,"laying","tGravityAcc","std","Y",-0.988211865208333
"336",2,"laying","tGravityAcc","std","Z",-0.984230418125
"337",2,"sitting","fBodyAcc","mean","X",-0.985803840652174
"338",2,"sitting","fBodyAcc","mean","Y",-0.957343498478261
"339",2,"sitting","fBodyAcc","mean","Z",-0.970162172608696
"340",2,"sitting","fBodyAcc","std","X",-0.98736209
"341",2,"sitting","fBodyAcc","std","Y",-0.950073754130435
"342",2,"sitting","fBodyAcc","std","Z",-0.956862864130435
"343",2,"sitting","fBodyAccJerk","mean","X",-0.987848793695652
"344",2,"sitting","fBodyAccJerk","mean","Y",-0.977139702826087
"345",2,"sitting","fBodyAccJerk","mean","Z",-0.985129050217391
"346",2,"sitting","fBodyAccJerk","std","X",-0.989459107391304
"347",2,"sitting","fBodyAccJerk","std","Y",-0.980804228478261
"348",2,"sitting","fBodyAccJerk","std","Z",-0.988570804130435
"349",2,"sitting","fBodyGyro","mean","X",-0.982621389565217
"350",2,"sitting","fBodyGyro","mean","Y",-0.982100923695652
"351",2,"sitting","fBodyGyro","mean","Z",-0.959814822391304
"352",2,"sitting","fBodyGyro","std","X",-0.986808501521739
"353",2,"sitting","fBodyGyro","std","Y",-0.977356188695652
"354",2,"sitting","fBodyGyro","std","Z",-0.963522659782609
"355",2,"sitting","tBodyAcc","mean","X",0.27708735173913
"356",2,"sitting","tBodyAcc","mean","Y",-0.0156879937282609
"357",2,"sitting","tBodyAcc","mean","Z",-0.109218272456522
"358",2,"sitting","tBodyAcc","std","X",-0.986822279565217
"359",2,"sitting","tBodyAcc","std","Y",-0.950704499130435
"360",2,"sitting","tBodyAcc","std","Z",-0.95982817173913
"361",2,"sitting","tBodyAccJerk","mean","X",0.0722564387173913
"362",2,"sitting","tBodyAccJerk","mean","Y",0.0116954511323913
"363",2,"sitting","tBodyAccJerk","mean","Z",0.00760546929869565
"364",2,"sitting","tBodyAccJerk","std","X",-0.988055854130435
"365",2,"sitting","tBodyAccJerk","std","Y",-0.977983955434783
"366",2,"sitting","tBodyAccJerk","std","Z",-0.98751821173913
"367",2,"sitting","tBodyGyro","mean","X",-0.0454706620434783
"368",2,"sitting","tBodyGyro","mean","Y",-0.0599286797043478
"369",2,"sitting","tBodyGyro","mean","Z",0.0412277462173913
"370",2,"sitting","tBodyGyro","std","X",-0.985742027826087
"371",2,"sitting","tBodyGyro","std","Y",-0.978919526956522
"372",2,"sitting","tBodyGyro","std","Z",-0.959803708695652
"373",2,"sitting","tBodyGyroJerk","mean","X",-0.0936328412826087
"374",2,"sitting","tBodyGyroJerk","mean","Y",-0.0415602029130435
"375",2,"sitting","tBodyGyroJerk","mean","Z",-0.04358509665
"376",2,"sitting","tBodyGyroJerk","std","X",-0.989709023043478
"377",2,"sitting","tBodyGyroJerk","std","Y",-0.990889614782609
"378",2,"sitting","tBodyGyroJerk","std","Z",-0.985542325652174
"379",2,"sitting","tGravityAcc","mean","X",0.940477273043478
"380",2,"sitting","tGravityAcc","mean","Y",-0.105630024498783
"381",2,"sitting","tGravityAcc","mean","Z",0.19872676876087
"382",2,"sitting","tGravityAcc","std","X",-0.979988760869565
"383",2,"sitting","tGravityAcc","std","Y",-0.956750273043478
"384",2,"sitting","tGravityAcc","std","Z",-0.954415873043478
"385",2,"standing","fBodyAcc","mean","X",-0.983946739814815
"386",2,"standing","fBodyAcc","mean","Y",-0.959871697407407
"387",2,"standing","fBodyAcc","mean","Z",-0.962471195740741
"388",2,"standing","fBodyAcc","std","X",-0.989056469814815
"389",2,"standing","fBodyAcc","std","Y",-0.957908842222222
"390",2,"standing","fBodyAcc","std","Z",-0.946433583518518
"391",2,"standing","fBodyAccJerk","mean","X",-0.980973241666667
"392",2,"standing","fBodyAccJerk","mean","Y",-0.970851337962963
"393",2,"standing","fBodyAccJerk","mean","Z",-0.979775152037037
"394",2,"standing","fBodyAccJerk","std","X",-0.983007923703704
"395",2,"standing","fBodyAccJerk","std","Y",-0.973520241111111
"396",2,"standing","fBodyAccJerk","std","Z",-0.984599905185185
"397",2,"standing","fBodyGyro","mean","X",-0.967037112037037
"398",2,"standing","fBodyGyro","mean","Y",-0.972576152962963
"399",2,"standing","fBodyGyro","mean","Z",-0.960627696111111
"400",2,"standing","fBodyGyro","std","X",-0.97498812462963
"401",2,"standing","fBodyGyro","std","Y",-0.97103605037037
"402",2,"standing","fBodyGyro","std","Z",-0.969754295740741
"403",2,"standing","tBodyAcc","mean","X",0.277911472222222
"404",2,"standing","tBodyAcc","mean","Y",-0.0184208270166667
"405",2,"standing","tBodyAcc","mean","Z",-0.105908536055556
"406",2,"standing","tBodyAcc","std","X",-0.987271889259259
"407",2,"standing","tBodyAcc","std","Y",-0.957304989259259
"408",2,"standing","tBodyAcc","std","Z",-0.949741851296296
"409",2,"standing","tBodyAccJerk","mean","X",0.0747588597592593
"410",2,"standing","tBodyAccJerk","mean","Y",0.0103291774794444
"411",2,"standing","tBodyAccJerk","mean","Z",-0.00837158846722222
"412",2,"standing","tBodyAccJerk","std","X",-0.981085715555556
"413",2,"standing","tBodyAccJerk","std","Y",-0.97105943962963
"414",2,"standing","tBodyAccJerk","std","Z",-0.982841446481482
"415",2,"standing","tBodyGyro","mean","X",-0.0238623875712963
"416",2,"standing","tBodyGyro","mean","Y",-0.0820396577592593
"417",2,"standing","tBodyGyro","mean","Z",0.0878351695481481
"418",2,"standing","tBodyGyro","std","X",-0.972998629814815
"419",2,"standing","tBodyGyro","std","Y",-0.971441996481481
